balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.18080771326062,0.0,120,-59.51364453637038,0.0,120,-27.365445616822527,0.0,120,-53.48655763948709,0.0,120,-12.656336136059398,0.0,120,-12.165764049036238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.57645987939735,0.0,120,-33.731618693108686,0.0,120,-15.246009074424558,0.0,120,-21.59161737235641,0.0,120,-11.335603357914355,0.0,120,-52.612228417603276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.78013108858378,0.0,120,-16.521984222643752,0.0,120,-54.38636341955727,0.0,120,-38.91127995138202,0.0,120,-31.87690234632286,0.0,120,-53.86945597775929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-10.587486363130502,0.0,120,-51.33258819065831,0.0,120,-53.086638349451945,0.0,120,-59.65344631084117,0.0,120,-42.508828449054235,0.0,120,-5.008467902225526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.060498868954255,0.0,120,-9.179366137659652,0.0,120,-34.01283042078064,0.0,120,-52.58965169425644,0.0,120,-39.023569060729336,0.0,120,-31.28812238071474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.693231270852365,0.0,120,-52.295722441837135,0.0,120,-12.918642030184293,0.0,120,-24.219838482155026,0.0,120,-54.92081195778229,0.0,120,-40.412487310204426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-9.331634095244922,0.0,120,-10.463060415776022,0.0,120,-5.846390228803752,0.0,120,-2.67680088697974,0.0,120,-48.10702592743012,0.0,120,-5.872250865977138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.91885703799712,0.0,120,-56.76685567184924,0.0,120,-12.578160557445093,0.0,120,-33.33395322716954,0.0,120,-47.67263543624443,0.0,120,-53.80118899539044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-44.85524645781004,0.0,120,-37.74193614806395,0.0,120,-54.694213007522144,0.0,120,-6.3487701243771095,0.0,120,-56.25410922443128,0.0,120,-38.127654038508474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.602689843767452,0.0,120,-14.371083501420415,0.0,120,-24.39703918220348,0.0,120,-46.401217636356904,0.0,120,-10.377151511291682,0.0,120,-2.6375376310524667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-52.81126785485296,0.0,120,-35.48690358342739,0.0,120,-26.376047280969246,0.0,120,-25.367964499558543,0.0,120,-15.763007714507422,0.0,120,-25.349855757194046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-32.853988157607525,0.0,120,-14.071342723159528,0.0,120,-59.0594849494021,0.0,120,-3.3950235343928936,0.0,120,-40.28878715604255,0.0,120,-32.41370272730443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.3405019775730573,0.0,120,-30.141389300378677,0.0,120,-35.602451306817386,0.0,120,-27.47043451791763,0.0,120,-0.017958939265372287,0.0,120,-51.33372655859474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.4710993249089253,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-18.495326576322046,0.0,120,-47.38617421378556,0.0,120,-15.194184234427478,0.0,120,-6.155357875806072,0.0,120,-47.23678554800337,0.0,120,-44.30464986687207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.4710993249089253,149.09586984380107,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-14.480848230960394,0.0,120,-25.07595349270695,0.0,120,-45.534306179392615,0.0,120,-32.814282886908934,0.0,120,-26.35992619841921,0.0,120,-9.574935684415028,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,339.1915139344262,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-54.85404098543962,0.0,120,-24.941433793548207,0.0,120,-4.06693281291467,0.0,120,-28.922356363002358,0.0,120,-10.25833679332308,0.0,120,-3.456522034618985,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,339.1915139344262,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-52.93387220524548,0.0,120,-34.52414609384972,0.0,120,-2.581447357807687,0.0,120,-27.830544232294145,0.0,120,-58.50661173542297,0.0,120,-20.656584977681092,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,339.1915139344262,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-6.025085409551261,0.0,120,-54.18178079358941,0.0,120,-2.6648301453513734,0.0,120,-4.09423017259085,0.0,120,-33.621713937500495,0.0,120,-15.996600697107953,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,367.45747342896175,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-14.78979540945737,0.0,120,-30.23949203952945,0.0,180,-51.59966076636116,0.0,120,-18.726367793209697,0.0,120,-51.92863535612743,0.0,120,-1.076597287015788,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,367.45747342896175,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-25.432878300253737,0.0,120,-27.489015774024924,0.0,180,-23.81608080264783,0.0,120,-26.85832759521257,0.0,120,-26.82860530173433,0.0,120,-4.172322819744716,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,367.45747342896175,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-14.873431683644752,0.0,120,-28.95843933966814,0.0,180,-15.739021631393715,0.0,120,-0.5297829201610371,0.0,120,-32.38669144121948,0.0,120,-27.747182466965025,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,367.45747342896175,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-44.69854640601851,0.0,120,-32.122465974840736,0.0,180,-35.26715032822103,0.0,120,-57.62972776809421,0.0,120,-20.686315636381917,0.0,120,-40.90795313264634,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,367.45747342896175,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-24.748183696887853,0.0,120,-52.700018407374586,0.0,180,-17.875946498575537,0.0,120,-33.64571495613896,0.0,120,-7.877018984900797,0.0,120,-40.94175061993388,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.4710993249089253,367.45747342896175,799.2,0.0,780.0,1.0,888.0,-692640.0,120,-39.23293577897099,0.0,120,-9.943792375363113,0.0,180,-52.81568944626042,0.0,120,-44.907747626698345,0.0,120,-13.841868044901206,0.0,120,-7.91745781215578,0.0,0.0,0.0,0.0,0.0,-692640.0,-692640.0,780.0,780.0,0.0,0.0,780.0,0.0,0.0,780
