balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-51.067511338784946,0.0,120,-46.790805391476354,0.0,120,-42.06428433122055,0.0,120,-8.642031889460613,0.0,120,-52.60228022857122,0.0,120,-44.44089576991348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,718.0,-0.0,0.4656603724991093,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-40.51565319287237,0.0,120,-21.728254985598227,0.0,120,-34.50010968758911,0.0,120,-20.35478472740284,0.0,118,-55.418775790596804,0.0,120,-40.67721917163112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,10050.572222222223,720.0,-0.0,0.4314161328523878,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-41.17758153499421,0.0,120,-39.929980451151785,0.0,120,-36.54661415479624,0.0,120,-52.93538091262736,0.0,120,-8.228409414961114,0.0,120,-3.226022437726208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9250.572222222223,720.0,-0.0,0.39707650535149713,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-7.062379409138215,0.0,120,-15.843525624809697,0.0,120,-43.021626843195435,0.0,120,-42.05903649849509,0.0,120,-19.8682864287686,0.0,120,-1.9944638048789631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8450.572222222223,720.0,-0.0,0.36273687785060643,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-39.3594775674843,0.0,120,-44.16714803974512,0.0,120,-50.23865332980728,0.0,120,-37.2139366961296,0.0,120,-20.90449199616224,0.0,120,-1.3945404651498605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7650.572222222223,720.0,-0.0,0.32839725034971573,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-25.65670120464866,0.0,120,-2.9994706975789898,0.0,120,-19.64642985053423,0.0,120,-37.803792295630004,0.0,120,-21.839936582063977,0.0,120,-38.555757269166044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6850.572222222223,720.0,-0.0,0.2940576228488251,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-56.68066779096089,0.0,120,-56.3841261340193,0.0,120,-9.216515634885493,0.0,120,-22.509559560871978,0.0,120,-45.48153208373547,0.0,120,-34.900426646831235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6050.572222222223,720.0,-0.0,0.2597179953479344,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-28.55194158281142,0.0,120,-58.06475131463317,0.0,120,-5.868573015853107,0.0,120,-31.168443677840532,0.0,120,-38.75266688396213,0.0,120,-13.495129764159344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5250.572222222223,720.0,-0.0,0.22537836784704368,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-54.15142948567632,0.0,120,-5.130739170094913,0.0,120,-35.44351696029039,0.0,120,-42.85708962668266,0.0,120,-33.75265008311533,0.0,120,-47.25239435537786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4450.572222222223,720.0,-0.0,0.191038740346153,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-29.7856159266571,0.0,120,-58.316882339930444,0.0,120,-21.89961047266223,0.0,120,-6.141213113945447,0.0,120,-52.78753521556872,0.0,120,-18.75298985391389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3650.572222222223,720.0,-0.0,0.15669911284526233,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.846300184482274,0.0,120,-28.863904387667535,0.0,120,-55.63425765511251,0.0,120,-47.01500627162538,0.0,120,-50.654719572735694,0.0,120,-45.60151414642995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2850.572222222223,720.0,-0.0,0.12235948534437165,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-38.99086368552269,0.0,120,-27.680285648005345,0.0,120,-10.964004685074746,0.0,120,-9.371568570527373,0.0,120,-17.425767482571043,0.0,120,-40.451715339890214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2050.572222222223,720.0,-0.0,0.08801985784348096,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-48.09177397857581,0.0,120,-46.000622148103766,0.0,120,-22.850397947121817,0.0,120,-3.0620111070464984,0.0,120,-5.955412497757802,0.0,120,-14.68162038341995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1250.572222222223,720.0,-0.0,0.05368023034259028,0.43364720059198536,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-42.424162052430326,0.0,120,-17.282263348176674,0.0,120,-11.114971592863359,0.0,120,-2.5917685274472757,0.0,120,-48.740439852591855,0.0,120,-45.92953122307396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,450.572222222223,405.5150000000007,-0.0,0.019340602841699597,0.43364720059198536,136.3755398781702,799.2,0.0,314.4849999999993,1.0,888.0,-279262.67999999935,120,-28.033690178734574,0.0,120,-50.77309839193445,0.0,120,-24.927293068988135,0.0,120,-51.54476773112773,0.0,120,-39.93262621283941,0.0,120,-20.63347608656186,0.0,0.0,0.0,0.0,0.0,-279262.67999999935,-279262.67999999935,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,312.22598442622945,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-46.45986612360769,0.0,120,-26.684695883370747,0.0,120,-54.39221374308001,0.0,120,-27.252852468714075,0.0,120,-35.67751737446277,0.0,120,-5.580165434750497,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,312.22598442622945,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-9.624804644227314,0.0,120,-26.88595555157293,0.0,120,-59.660225507314756,0.0,120,-29.868339572163997,0.0,120,-9.907418292475466,0.0,120,-4.255274270867542,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,312.22598442622945,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-11.155456266628828,0.0,120,-56.642560620132826,0.0,120,-59.14858948066382,0.0,120,-23.971176925794907,0.0,120,-32.57126937587477,0.0,120,-34.59972605770106,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,312.22598442622945,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-57.44821716778988,0.0,120,-54.563133703321,0.0,120,-52.50096593065094,0.0,120,-57.06375392155379,0.0,120,-3.945074421302086,0.0,120,-0.38004828156817494,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,312.22598442622945,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-2.9025250090022325,0.0,120,-0.2419377540723744,0.0,120,-30.138413725032624,0.0,120,-15.936256043889035,0.0,120,-8.542720068421314,0.0,120,-12.075355238436263,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,312.22598442622945,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-17.848861714208155,0.0,120,-0.8639876705148786,0.0,120,-5.560524237308684,0.0,120,-4.44942155562575,0.0,120,-55.118065483311874,0.0,120,-49.78259579725548,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,311.35869002504546,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-56.57605231364772,0.0,120,-28.645639712965604,0.0,118,-39.27775837115263,0.0,120,-39.8704322665798,0.0,120,-1.4863244772639406,0.0,120,-54.07345187235459,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,311.35869002504546,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-15.791939598784543,0.0,120,-2.388543818650408,0.0,118,-47.37225964798902,0.0,120,-10.819484803132486,0.0,120,-57.546127539683354,0.0,120,-55.584638236394426,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.43364720059198536,311.35869002504546,799.2,0.0,718.0,1.0,888.0,-637584.0,120,-57.37330400807146,0.0,120,-17.541630084600367,0.0,118,-57.609785274989534,0.0,120,-45.88069850143217,0.0,120,-36.41814128536813,0.0,120,-49.90517181646695,0.0,0.0,0.0,0.0,0.0,-637584.0,-637584.0,718.0,718.0,0.0,0.0,718.0,0.0,0.0,718
