balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,pv_source,pv_source,pv_source,pv_source,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,load_met,node_current,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid
0.0,0.0,-0.0,0.0,11648.35,720.0,-0.0,0.5,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-24.406156987282177,0.0,120,-42.55869123357982,0.0,120,-36.974086042369535,0.0,120,-20.559668766788707,0.0,120,-42.89800774409635,0.0,120,-47.91855647834495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10848.35,720.0,-0.0,0.4656603724991093,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-48.66746767062498,0.0,120,-42.6394575097749,0.0,120,-0.9883588772095808,0.0,120,-6.13544671739763,0.0,120,-20.29653883061698,0.0,120,-44.862567271120504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,10048.35,720.0,-0.0,0.43132074499821865,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-55.22309535588351,0.0,120,-23.16500926451034,0.0,120,-38.96352472070176,0.0,120,-43.90000655425528,0.0,120,-58.35518372231451,0.0,120,-30.083136144761063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,9248.35,720.0,-0.0,0.39698111749732795,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-57.97205958870347,0.0,120,-28.17921739999822,0.0,120,-56.58730456780637,0.0,120,-53.50151172403888,0.0,120,-46.23078171377519,0.0,120,-23.1225480775225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,8448.35,720.0,-0.0,0.36264148999643725,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-6.685003918831236,0.0,120,-6.812315632706174,0.0,120,-46.08191698709622,0.0,120,-37.776029648827645,0.0,120,-36.54279232945859,0.0,120,-34.026728557453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,7648.35,720.0,-0.0,0.3283018624955466,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.004583373859965,0.0,120,-35.30635977593091,0.0,120,-35.70736261237634,0.0,120,-41.88629714736958,0.0,120,-7.8971912068170225,0.0,120,-58.43056014503518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6848.35,720.0,-0.0,0.2939622349946559,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.2954949956896,0.0,120,-45.30720258883409,0.0,120,-25.564539443640534,0.0,120,-48.70206360955099,0.0,120,-39.70160473106199,0.0,120,-50.102127822041155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,6048.35,720.0,-0.0,0.2596226074937652,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-47.98751901993464,0.0,120,-1.9158170646891093,0.0,120,-39.430493065095646,0.0,120,-14.925520557381509,0.0,120,-16.660447062128693,0.0,120,-42.27757166797135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,5248.35,720.0,-0.0,0.22528297999287453,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-2.3077128320386686,0.0,120,-35.251622661080624,0.0,120,-35.84485262818317,0.0,120,-44.840500301503255,0.0,120,-42.676578648432624,0.0,120,-59.59409312900444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,4448.35,720.0,-0.0,0.19094335249198385,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-33.980552123596446,0.0,120,-36.44267736088277,0.0,120,-31.587283148613203,0.0,120,-13.675811672522906,0.0,120,-59.748584804286224,0.0,120,-51.76429644778903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,3648.3500000000004,720.0,-0.0,0.15660372499109318,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-36.80420654825825,0.0,120,-9.75416390040494,0.0,120,-1.575842751303802,0.0,120,-9.257340806519824,0.0,120,-35.925991409781204,0.0,120,-40.585166961792055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2848.3500000000004,720.0,-0.0,0.12226409749020249,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-50.874186510690635,0.0,120,-8.270661863374741,0.0,120,-39.47307349022595,0.0,120,-5.317249355675262,0.0,120,-51.45164871882619,0.0,120,-12.874526177599172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,2048.3500000000004,720.0,-0.0,0.0879244699893118,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-43.534148909088124,0.0,120,-47.38373106835725,0.0,120,-29.493325920059384,0.0,120,-11.200888970691278,0.0,120,-26.259459978438304,0.0,120,-52.92267641327397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,1248.3500000000004,720.0,-0.0,0.053584842488421124,0.26777274590163935,0.0,799.2,0.0,0.0,1.0,888.0,-0.0,120,-37.57859452621278,0.0,120,-2.0541701015075065,0.0,120,-45.3708736374475,0.0,120,-59.64458328945752,0.0,120,-6.954809965357931,0.0,120,-59.937345270727704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,448.35000000000036,403.5150000000003,-0.0,0.01924521498753044,0.26777274590163935,84.74605748668024,799.2,0.0,316.4849999999997,1.0,888.0,-281038.6799999997,120,-14.514302550135298,0.0,120,-0.34648930323858185,0.0,120,-10.889120954275668,0.0,120,-21.9604308696452,0.0,120,-9.094485979845198,0.0,120,-53.068204014199104,0.0,0.0,0.0,0.0,0.0,-281038.6799999997,-281038.6799999997,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-54.31123662441959,0.0,120,-2.8431826378134994,0.0,120,-48.51550680670556,0.0,120,-24.322498718372398,0.0,120,-34.65806538170363,0.0,120,-31.49193609541813,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-8.304162630088134,0.0,120,-40.54045512923051,0.0,120,-53.51341932885063,0.0,120,-37.19763255977411,0.0,120,-3.3844002150194585,0.0,120,-28.591508976196884,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-16.74269615973456,0.0,120,-42.192413216363086,0.0,120,-20.571979976011498,0.0,120,-2.784017483570145,0.0,120,-19.338995258407998,0.0,120,-49.68063933076649,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-48.09610432341165,0.0,120,-2.734595829568196,0.0,120,-41.64893645418782,0.0,120,-36.81460604438043,0.0,120,-52.86840562417224,0.0,120,-17.637849181896495,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-31.372462257331208,0.0,120,-23.870438360775296,0.0,120,-18.841725594855497,0.0,120,-30.814272463797106,0.0,120,-6.236172789673862,0.0,120,-38.07052480585522,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-4.256351118772928,0.0,120,-6.697384498630983,0.0,120,-22.93205703858556,0.0,120,-49.756528158085956,0.0,120,-25.68291047927299,0.0,120,-25.963223442264574,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-9.10849880231963,0.0,120,-6.519481145363399,0.0,120,-44.832737832623955,0.0,120,-11.517419528615937,0.0,120,-0.965814861051022,0.0,120,-6.704689169632796,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-1.1992671649265496,0.0,120,-34.48869620370279,0.0,120,-18.053889911153885,0.0,120,-19.895558823619513,0.0,120,-45.53417113380042,0.0,120,-59.85316035984321,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.26777274590163935,192.79637704918034,799.2,0.0,720.0,1.0,888.0,-639360.0,120,-2.443826628528498,0.0,120,-40.490220385067076,0.0,120,-5.996417588870329,0.0,120,-47.550265526418734,0.0,120,-3.9366157631854937,0.0,120,-56.61201865740658,0.0,0.0,0.0,0.0,0.0,-639360.0,-639360.0,720.0,720.0,0.0,0.0,720.0,0.0,0.0,720
